index,Name of Project,Location,Source of Funds,% WT Actual,% WT Plan,Slippage,Contract Amount,No. of Days,Date Started,Target Date of Completion,Date Completed,Project Engineer,Implementor,Remarks,Report Date,Month,Year,Project Engineer/Site Engineer
2018-01-01,Installation of Lined Canal along Upper Klinan-Cannery,Polomolok,CY 2017 20% LDF,100,100,0,1398492.18,110,9/12/17,12/30/17,12/30/17,E SOLATORIO,DUMALAG SURVEYING & ENG'G. SERVICES,Completed,2018-01-01,January,2018,
2018-01-01,Const. of Day Care Center @ Brgy. Magsaysay,Polomolok,CY 2017 20% LDF,92.47,100,-7.53,1192955.89,60,11/1/17,1/19/18,,E SOLATORIO,JAMI CONST. & SUPPLY,On-going,2018-01-01,January,2018,
2018-01-01,"Const. of Basketball Court & Inst. Of Fiber Glass, Basketball Stand & Ring @ Sitio Honeyville",Polomolok,CY 2017 20% LDF,100,100,0,508345.53,40,11/5/17,1/13/18,1/13/18,E SOLATORIO,JAMI CONST. & SUPPLY,Completed,2018-01-01,January,2018,
2018-01-01,"Const. of 2-Storey Barangay Hall, Brgy. Upper Klinan",Polomolok,CY 2017 20% LDF,47.76,43.81,3.95,2988998.84,105,11/14/17,2/26/18,,E SOLATORIO,"UNIFIED WORKERS CONST. & DEVELOPMENT MPC, INC.",On-going,2018-01-01,January,2018,
2018-01-01,Conc. of Jct. Nhwy. Crossing Palkan-Palkan Road,Polomolok,CY 2017 20% LDF,77.28,82.14,-4.86,9965162.92,130,9/24/17,1/31/18,,A. DEMETILLO,DUMALAG SURVEYING & ENG'G. SERVICES,On-going,2018-01-01,January,2018,
2018-01-01,"Spring Development & inst. Of Level III Water System through Hydraulic Rampump, Prk. 4 Amguo",Polomolok,CY 2017 20% LDF,76.54,53.02,23.52,2826890.48,120,9/25/17,2/21/18,,A. DEMETILLO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going,2018-01-01,January,2018,
2018-01-01,"Completion of Barangay Hall, Brgy. Crossing Palkan",Polomolok,"1011-STAFF-999.26 BRGY. FACILITIES, CONST & IMPRV'T. PROG.",1.05,0.6,0.45,591165.69,50,1/11/18,3/1/18,,A. DEMETILLO,HVC SAGITTARIUS COMMERCIAL & CONST.,On-going,2018-01-01,January,2018,
2018-01-01,Construction of Sitio El Nama Bridge,Tupi,CY 2016 CONT APPROP. #182-GF,73.76,100,-26.24,4904647.08,220,6/12/16,1/17/17,,A. DEMETILLO,CS CONSTRUCTION & SUPPLY,On-going,2018-01-01,January,2018,
2018-01-01,Inst. Of Lined Canal along Jct. Nhwy.-Kablon Road,Tupi,CY 2017 20% LDF,58.09,62.82,-4.73,1272371.4,90,12/19/17,3/18/18,,A DEMETILLO,"UNIFIED WORKERS CONST. & DEVELOPMENT MPC, INC.",On-going,2018-01-01,January,2018,
2018-01-01,"Const. of 2-Storey Barangay Hall, Brgy. Kablon",Tupi,CY 2017 20% LDF,7.65,0.45,7.2,2980507.19,105,1/18/18,5/2/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going,2018-01-01,January,2018,
